"","Dbase","Query","Bitscore","Distance"
"1","GID1_seq1","GID1_seq1",1256,0
"2","GID1_seq1","GID1_seq61",26.1,0.97686170212766
"3","GID1_seq10","GID1_seq10",1625,0
"4","GID1_seq10","GID1_seq49",30.3,0.978449502133713
"5","GID1_seq100","GID1_seq100",334,0
"6","GID1_seq100","GID1_seq121",24.7,0.947613997879109
"7","GID1_seq100","GID1_seq144",33.4,0.9049786628734
"8","GID1_seq100","GID1_seq485",23.3,0.940485312899106
"9","GID1_seq101","GID1_seq101",415,0
"10","GID1_seq101","GID1_seq384",24.7,0.932789115646259
"11","GID1_seq102","GID1_seq102",703,0
"12","GID1_seq103","GID1_seq103",362,0
"13","GID1_seq103","GID1_seq286",24.4,0.966414315209911
"14","GID1_seq103","GID1_seq499",25.2,0.936762860727729
"15","GID1_seq104","GID1_seq104",445,0
"16","GID1_seq104","GID1_seq211",25.2,0.94975074775673
"17","GID1_seq104","GID1_seq220",23.5,0.937249666221629
"18","GID1_seq104","GID1_seq242",26.9,0.944478844169247
"19","GID1_seq104","GID1_seq519",24.9,0.968540745420089
"20","GID1_seq105","GID1_seq105",424,0
"21","GID1_seq105","GID1_seq502",47.7,0.915048975957257
"22","GID1_seq106","GID1_seq106",1412,0
"23","GID1_seq106","GID1_seq176",26.3,0.970215175537939
"24","GID1_seq106","GID1_seq270",31.1,0.977745974955277
"25","GID1_seq106","GID1_seq302",27.2,0.972273190621814
"26","GID1_seq106","GID1_seq394",26.3,0.980314371257485
"27","GID1_seq106","GID1_seq479",24.9,0.969836462749849
"28","GID1_seq107","GID1_seq107",868,0
"29","GID1_seq107","GID1_seq443",25.8,0.971189279731993
"30","GID1_seq108","GID1_seq108",260,0
"31","GID1_seq108","GID1_seq492",35.6,0.891793313069909
"32","GID1_seq109","GID1_seq109",658,0
"33","GID1_seq11","GID1_seq11",730,0
"34","GID1_seq11","GID1_seq173",29.2,0.96374922408442
"35","GID1_seq110","GID1_seq110",729,0
"36","GID1_seq110","GID1_seq205",27.8,0.969945945945946
"37","GID1_seq110","GID1_seq537",25.5,0.968025078369906
"38","GID1_seq111","GID1_seq111",1325,0
"39","GID1_seq111","GID1_seq222",54.2,0.956448372840498
"40","GID1_seq111","GID1_seq289",35.9,0.967033976124885
"41","GID1_seq112","GID1_seq112",197,0
"42","GID1_seq113","GID1_seq113",210,0
"43","GID1_seq113","GID1_seq35",23,0.932452276064611
"44","GID1_seq114","GID1_seq114",671,0
"45","GID1_seq114","GID1_seq547",26.1,0.967045454545455
"46","GID1_seq115","GID1_seq115",1577,0
"47","GID1_seq115","GID1_seq340",25.8,0.97262599469496
"48","GID1_seq116","GID1_seq116",177,0
"49","GID1_seq116","GID1_seq285",56.2,0.693732970027248
"50","GID1_seq116","GID1_seq30",61.5,0.648571428571429
"51","GID1_seq116","GID1_seq94",24.9,0.957105943152455
"52","GID1_seq117","GID1_seq117",730,0
"53","GID1_seq117","GID1_seq442",26.1,0.960152671755725
"54","GID1_seq118","GID1_seq115",26.6,0.977303754266212
"55","GID1_seq118","GID1_seq118",767,0
"56","GID1_seq119","GID1_seq119",226,0
"57","GID1_seq12","GID1_seq12",918,0
"58","GID1_seq12","GID1_seq19",35.1,0.950943396226415
"59","GID1_seq120","GID1_seq120",1380,0
"60","GID1_seq121","GID1_seq121",609,0
"61","GID1_seq121","GID1_seq497",25.2,0.960158102766798
